A,አንድ
Downgrade,ከስልጣን ዝቅ አደረገ 
Downhearted,የተከዘ
Downhill,ቁልቁል ወረደ 
Downpour,ዶፍ 
Downright,ፍጹም 
Downstairs,እምድር ቤት 
Downtown,መኃል ከተማ
Downward,ቁልቁል
Dowry,ጥሎሽ
Doze,አንቀላፋ
Dozen,ደርዘን 
Drab,ረጋ ሠራሽ 
Draft,አረቀቀ 
Drag,ጐተተ 
Drain,አደረቀ 
Drainage,የውኃ መውረጃ 
Drama,ቲያትር 
Dramatic,የድራማ 
Dramatize,በድራማ መልክ አወጣ 
Drape,አለበሰ 
Drastic,ጥብቅ
Draw,ሳበ 
			 9 ጣለ 10 አተረፈለት 11 ማረከ 12 መዘዘ,			 9 ጣለ 0 አተረፈለት ማረከ 
Drawback,ትልቅ ዕንቅፋት
Drawer,መሳቢያ
Drawing,ሥዕል
Drawl,ጐተተ
Dread,አልወደደም 
Dreadful,የሚያስጠላ 
Dream,አለመ 
Dreamy,ሕልም የበዛበት
Dreary,ቀፋፊ 
Dreg,አተላ 
Drench,እራስ
Dress,አለበሰ 
Dresser,ባለ መስታወት ኮመዲኖ 
Dressing,የቁስል ፋሻ 
Dressmaker,ልብስ ሰፊ
Dressy,ያጌጠ
Dribble,ተንጠባጠበ 
Dried,ደረቀ
Drift,ተንሳፈፈ 
Drill,ልምምድ አደረገ
Drink,ጠጣ
Drip,ተንጠባጠበ
Drive,ነዳ 
Drivel,አፉን ምራቅ ሞላው
Driver,ነጂ 
Driveway,መግቢያ መንገድ
Drizzle,አካፋ
Drone,አጒረመረመ 
Drool,ለሀጩን አዝረከረከ
Droop,ጠወለገ 
Drop,ጣለ 
Drought,ድርቅ 
Drove,መንጋ
Drown,አሰጠመ 
Drowse,አንጐላጀ
Drowsy,የሚጫጫን
Drudge,እንደ ባሪያ አገለገለ
Drug,መድኃኒት 
Druggist,መድኃኒት ቀማሚ
Drum,ደበደበ 
Drunk,ሰካራም
Drunkard,ሰካራም
Drunken,የሰከረ
Dry,አደረቀ 
Dual,ሁለት
Dub,የቅጽል ስም አወጣለት
Dubious,ከልብ ያልሆነ 
Duck,ዳክዬ
Due,የሚገባው
Duel,በጐራዴ ወይም በጦር መሳሪያ በሁለት ሰዎች መካከል የሚደረግ ውጊያ
Duet,ሁለት ሰዎች በመዋሐድ የሚዘፍኑት ወይም የሚጫወቱት ሙዚቃ
Dugout,የሰው ሰራሽ ዋሻ
Duke,መስፍን
Dukedom,የመስፍን ግዛት
Dull,ደነዘዘ 
Duly,በሚገባ 
Dumb,ድዳ 
Dummy,ምስል
Dump,ዘረገፈ 
Dumpy,አጭር ወፍራም
Dunce,ደደብ ተማሪ
Dune,የአሸዋ ክምር
Dung,ፍግ
Dungeon,ጭለማ ቤት
Dunk,ጠቀሰ
Dupe,አጭበረበረ
Duplicate,አባዛ 
Duplicity,አታላይነት
Durable,ጽኑ
Duress,የተገደደ እንደሆነ
During,በ ጊዜ
Dusk,ለዓይን ሲይዝ
Dust,ወለወለ 
Dusty,አቧራማ 
Duteous,ታዛዥ
Dutiful,ቁም ነገረኛ 
Duty,ተግባር 
Dwarf,አቆረቆዘ 
Dwell,ኖረ
Dwelling,መኖሪያ ቤት
Dwindle,እየመነመነ ሄደ 
Dye,መንከሪያ 
Dying,የሚያጣጥር
Dynamic,ታታሪ 
Dynamite,ድማሚት
Dynamo,የማሽከርከሪያን እንቅስቃሴ ወደ ኤሌክትሪክ የሚለውጥ መሣሪያ
Dynasty,ሥርወ መንግሥት
Dysentery,የተቅማጥ በሽታ
Each,እያንዳንድ 
Eager,የጓጓ 
Eagle,ንስር
Ear,ጆሮ 
Early,ፈጠን ያለ 
Earmark,ለይቶ አስቀመጠ
Earn,አገኘ 
Earnest,ቅን
Earnings,የሚያገኝ
Earphone,የጆሮ ማዳመጫ
Earring,ጉትቻ
Earth,መሬት 
Earthen,የሸክላ
Earthenware,የሸክላ ዕቃ
Earthly,ምድራዊ
Earthquake,የመሬት መንቀጥቀጥ
Earthworm,ትል
Ease,አስታገሰ 
Easily,በቀላሉ 
East,ምሥራቅ
Eastern,ምሥራቃዊ 
Eastward,ወደ ምስራቅ
Easy,ቀላል 
Easygoing,የማይነዛነዝ
Eat,በላ
Eater,ሆዳም
Eaves,የቤት ክፈፍ
Eavesdrop,በስውር አዳመጠ
Ebb,ሸሸ 
Ebony,ጥንካሬው እንደ ቀረሮ የሆነ ዕንጨት
Ebullient,ፍልቅልቅ
Eccentric,እንግዳ
Echo,አስተጋባ 
Eclipse,አስናቀ
Economic,የኢኮኖሚ
Economical,ቆጣቢ
Economics,የሀብት ምጣኔ 
Economize,ቆጠበ
Economy,የሀብት ምጣኔ ይዞታ
Ecstasy,ፍንደቃ
Eczema,ችፌ
Edge,ዳር 
Edible,የሚበላ
Edict,ዐዋጅ
Edifice,ሕንጻ
Edify,አነቃቃ
Edit,አዘጋጀ
Edition,እትም
Editor,አዘጋጅ
Editorial,ርእሰ አንቀጽ
Educate,አስተማረ
Educated,የተማረ
Education,ትምህርት 
Efface,አጠፋ
Effect,በስራ ላይ አዋለ 
Effective,ጥሩ ውጤት የሚሰጥ 
Effectuate,አስገኘ
Effeminate,የሴት 
Effete,ኅይሉ የተሟጠጠበት
Efficacious,አጥጋቢ 
Efficiency,ቅልጥፍና
Efficient,ቀልጣፋ
Effigy,ምስል
Effort,ድካም 
Effrontery,ብልግና 
Effusive,በጣም የተሟሟቀ 
Egg,እንቁላል
Eggshell,የእንቁላል ቅርፊት
Egoism,ራስን ብቻ ወዳድነት
Eight,ስምንት
Eighteen,ዐሥራ ስምንት
Eighth,ስምንተኛ
Eighty,ሰማንያ
Either,አንደኛው 
Ejaculate,አጫደረ
Eject,አስወጣ 
Eke,አብቃቃ
Elaborate,በዝርዝር አዘጋጀ
Elapse,አለፈ
Elastic,ላስቲክ
Elate,አስፈነደቀ
Elbow,ክርን
Elder,ሽማግሌ 
Elderly,በዕድሜ የገፋ 
Eldest,የበኩር ልጅ
Elect,መረጠ
Election,ምርጫ
Elective,በምርጫ የሚወሰድ ትምህርት 
Electric,በኤሌክትሪክ የሚሰራ
Electrician,የኤሌክትሪክ ሠራተኛ
Electricity,ኤሌክትሪክ 
Electrify,ኤሌክትሪክ አስገባ 
Elegant,ያሸበረቀ 
Elegy,ሟቹን የሚያሞግስ የለቅሶ ግጥም
Element,ባህርይ 
Elementary,የጀማሪዎች
Elephant,ዝሆን
Elevate,ከፍ አደረገ 
Elevation,ከፍታ 
Elevator,አሳንሱር 
Eleven,ዐሥራ አንድ
Elicit,እንዲገለጥ አደረገ 
Eligible,ይገባዋል 
Eliminate,አስወጣ 
Elocution,የንግግር ትምህርት 
Elongate,አስረዘመ
Eloquence,አንደበተ ርቱዕነት
Eloquent,አንደበተ ርቱዕ 
Else,ያለበለዚያ
Elsewhere,ሌላ ቦታ 
Elucidate,አብራራ
Elude,አታለለ 
Elusive,የማይጨበጥ
Emaciate,አመነመነ
Emanate,ተፈነጠቀ 
Emancipate,ነጻ አወጣ 
Emasculate,ሰለበ 
Embalm,እንዳይፈርስ መድኃኒት አደረገበት
Embankment,ግድብ
Embargo,ማገጃ
Embark,መርከብ ተሳፈረ
Embarrass,አሳፈረ 
Embassy,ኤምባሲ
Embed,ገነባ 
Embellish,አስጌጠ 
Embezzle,አጭበረበረ
Embitter,አመረረ 
Emblem,ምሳሌ 
Embody,ያዘ 
Embolden,አደፋፈረ
Embrace,አቀፈ 
Embroider,ጠለፈ 
Embroidery,ጥልፍ
Embroil,ጣለ 
Embryo,ሽል
Emend,እንዲስማማ አድርጎ አሻሻለ
Emerald,ብሩህ አረንጓዴ በጣም ውድ የሆነ ድንጋይ
Emerge,ብቅ አለ 
Emergency,አስቸኳይ ሁኔታ 
Emigrant,አገሩን ትቶ የሚሄድ ሰው
Emigrate,ተሰደደ
Eminence,የከፍታ ቦታ 
Eminent,ዝነኛ 
Emissary,መልእክተኛ
Emit,አሰራጨ 
Emotion,ስሜት 
Emotional,ስሜትን የሚቀሰቅስ 
Emperor,ንጉሠ ነገሥት
Emphasis,ሥረ ነገር
Emphasize,አጥብቆ ተናገረ 
Emphatic,የጐላ 
Empire,የንጉሠ ነገሥት ግዛት 
Employ,ቀጠረ 
Employee,ሠራተኛ
Employment,ሥራ 
Empower,ሥልጣን ሰጠ
Empress,እቴጌ 
Empty,አጋባ 
Emulate,መሰለ 
Enable,አስቻለ
Enact,አሳለፈ 
Encamp,ሰፈረ
Enchant,በጣም አስደሰተ 
Encircle,ከበበ 
Enclose,አያይዞ ላከ 
Enclosure,ክልል 
Encompass,ከበበ 
Encounter,አጋጠመው 
Encourage,አደፋፈረ 
Encroach,ጥሶ ገባ 
Encumber,አስቸገረ 
Encumbrance,ችግር 
Encyclopaedia,ዓውደ ጥበብ
End,ደመደመ 
Endanger,አደጋ ላይ ጣለ
Endear,ተወዳጅ አደረገ
Endeavour,ተጣጣረ
Ending,ፍጻሜ
Endless,ማለቂያ የሌለው 
Endorse,አጸደቀ 
Endorsement,ድጋፍ 
Endow,ዐደለ 
Endowment,ስጦታ
Endurance,ብርታት 
Endure,ተቋቋመ
Enemy,ጠላት 
Energetic,ታታሪ 
Energy,ጉልበት 
Enfeeble,አደከመ
Enfold,ጠቀለለ
Enforce,አስከበረ 
Engage,ቀጠረ 
Engagement,ቀጠሮ 
Engaging,የሚማርክ
Engender,ወለደ 
Engine,ሞተር
Engineer,ፕላን አወጣ 
Engrave,ቀረጸ(ተቀረጸ)
Engraving,ቅርጽ 
Engross,ማረከ 
Engulf,ዋጠ
Enhance,ጨመረለት
Enigma,ምስጢር
Enjoin,ትእዛዝ ሠጠ 
Enjoy,ደስ አለው 
Enjoyable,ደስ የሚያሰኝ 
Enlarge,አሳደገ 
Enlargement,ማስፋት 
Enlighten,አስረዳ
Enlist,መለመለ 
Enliven,አደመቀ 
Enmity,ጠላትነት
Ennoble,አስከበረ
Enormity,አሰቃቂነት 
Enormous,ከፍ ያለ 
Enough,በቂ 
Enrage,በጣም አናደደ 
Enrapture,መሰጠ
Enrich,አበለጸገ 
Enrol,መዘገበ
Enrolment,የተማሪ ቁጥር
Ensconce,ተደበቀ 
Enshrine,በቅዱስ ስፍራ አስቀመጠ 
Enshroud,ሸፈነ
Ensign,ሰንደቅ ዓላማ
Enslave,ባሪያ አደረገ 
Ensnare,አጠመደ
Ensue,ተከተለ
Ensure,አረጋገጠ 
Entail,ጠየቀ
Entangle,ሳይወድ አስገባ 
Enter,አስገባ 
Enterprise,የንግድ ድርጅት 
Enterprising,ታታሪ
Entertain,አስተናገደ 
Entertainer,አጫዋች
Entertainment,ጨዋታ 
Enthral,መሰጠ
Enthrone,ዙፋን ላይ አስቀመጠ
Enthuse,ደስ ተሰኘ
Enthusiasm,መንፈስ 
Entice,አባበለ 
Entire,ድፍን 
Entirely,በፍጹም 
Entirety,በሙሉ
Entitle,መብት ሰጠ 
Entity,አንድነት ያላት ሀገር 
Entomb,ቀበረ 
Entrails,አንጀት
Entrance,መግቢያ 
Entrant,አዲስ ገቢ
Entrap,አጠመደ 
Entreat,ለመነ
Entreaty,ልመና
Entrench,መሸገ 
Entrepreneur,ስራ ፈጣሪ
Entrust,እምነት ጣለበት 
Entry,አገባብ 
Entwine,ከበበ
Enumerate,ቆጠረ 
Enunciate,ተናገረ 
Envelop,ጠቀለለ 
Envelope,አምቦልክ
Envenom,መረዘ
Enviable,የሚያስቀና
Environment,አካባቢ
Envisage,ብሎ አሰበ 
Envoy,መልዕክተኛ
Envy,ቅናት
Ephemeral,ኅላፊ
Epic,የጀግንነት ግጥም
Epidemic,ተላላፊ በሽታ
Epilepsy,የሚጥል በሽታ
Episode,ምዕራፍ 
Epistle,መልዕክት
Epitaph,ስለ ሟቹ የሚናገር በመቃብር ደንጊያ ላይ የሚቀረጽ አጭር መግለጫ
Epithet,ቅጽል ስም
Epitome,ምሳሌ
Epitomize,በ---ተመሰለ
Epoch,ዘመን 
Equal,አከለ 
Equality,እኩልነት
Equalize,አስተካከለ
Equally,በትክክል 
Equate,እኩል አድርጎ አየ
Equator,የምድር መቀነት
Equestrian,የፈረሰኝነት 
Equilibrium,ሚዛን 
Equip,አዘጋጀ
Equipment,መሣሪያ 
Equitable,ትክክለኛ 
Equity,ትክክለኛነት
Equivalent,ተመዛዛኝ 
Equivocal,አጠራጣሪ
Equivocate,አዙሮ ተናገረ
Era,ዘመን 
Eradicate,አጠፋ 
Erase,ፋቀ 
Eraser,ላጲስ
Erect,አቆመ 
Erode,ሸረሸረ
Erosion,መሸርሸር
Err,አጠፋ 
Errand,መልእክት
Errant,ተዘዋዋሪ 
Erratic,ያልተስተካከለ 
Erroneous,የተሳሳተ
Error,ስህተት 
Erudite,ምሁር 
Erupt,ፈነዳ 
Escalate,ቀጠለ 
Escalator,ተንቀሳቃሽ ደረጃ
Escape,አመለጠ 
Eschew,ቀረበት 
Escort,ሸኘ 
Especially,በተለይ
Espionage,ስለላ
Esplanade,በተለይ በጠረፍ ዳርቻ ያለ ዝርግ ደልዳላ ቦታ
Espouse,ዳረ 
Essay,ሞከረ 
Essence,መሰረት 
Essential,ዋና ዋና ነገር 
Establish,አቋቋመ 
Establishment,ማቋቋም 
Estate,ርስትና ንብረት 
Esteem,አከበረ 
Estimate,ገመተ
Estimation,ግምት
Estrange,አለያየ 
Estuary,ወንዝ ወደ ባሕር የሚፈስበት ሰፋ ያለ መገናኛ
Etc.,የመሳሰሉ 
Etching,ከዝርግ ብረት የተቀረጸ ሥዕል ወይም ንድፍ
Eternal,ዘላለማዊ 
Eternity,ዘላለማዊ ሕይወት 
Ethical,የሐቀኝነት 
Ethics,የሥነ ምግባር ትምህርት
Ethnic,ጐሳ
Etiquette,ሥነ ሥርዓት
Etymology,መሠረተ አመጣጥ 
Eucalyptus,ባሕር ዛፍ
Eulogy,ለሞተ ሰው የቀረበ ውዳሴ
Eunuch,ጃንደረባ
Euphorbia,ቁልቋል
Evacuate,ከ--ወጣ 
Evade,አመለጠ 
Evaluate,አመዛዘነ 
Evangelist,ወንጌላዊ
Evangelize,ወንጌል ሰበከ
Evaporate,አተነነ
Evasion,ማድበስበስ 
Evasive,የማይጨበጥ
Eve,ዋዜማ
Even,አስተካከለ
Evening,ምሽት 
Event,ድርጊት 
Eventful,ብዙ ድርጊት የተፈጸመት
Eventual,በመጨረሻ
Ever,ያውቃል 
Evergreen,ቅጠሉ የማይረግፍ
Everlasting,የዘለዓለም 
Evermore,ሁልጊዜ
Every,እያንዳንዱ 
Everybody,ሁሉ ሰው
Everyday,የዘወትር 
Everyone,እያንዳንዱ ሰው 
Everything,ማንኛውም ነገር 
Everywhere,በያለበት 
Evidence,ማስረጃ 
Evident,የተረጋገጠ 
Evidently,ግልጽ
Evil,መቅሠፍት 
Evince,ገለጸ
Evolution,ሥነ ተፈጥሮ 
Evolve,ፈጠረ
Ewe,ሴት በግ
Exacerbate,አባሰበት
Exact,ትክክለኛ 
Exacting,ጥንቃቄ የሚፈልግ 
Exaction,ማስከፈል
Exactly,ፍጹም 
Exaggerate,አዳነቀ 
Exalt,አወደሰ 
Exam,ፈተና
Examination,ፈተና 
Examine,ፈተነ 
Example,ምሳሌ 
Exasperate,በጣም አበሳጨ
Excavate,ቆፍሮ አወጣ 
Exceed,በለጠ 
Exceedingly,እጅግ
Excel,በለጠ
Excellence,ከፍተኛ ችሎታ 
Excellent,እጅግ በጣም ጥሩ 
Except,ውጭ አደረገ 
Excepting,ከ--በስተቀር
Exceptional,ወደር የሌለው 
Excerpt,ምንባብ
Excess,ብልጫ 
Excessive,ከመጠን በላይ የሆነ
Exchange,ለወጠ 
Excise,ቆርጦ አወጣ
Excitable,በቀላሉ የሚሸበር
Excite,ስሜቱን ቀሰቀሰ 
Exciting,ደስ የሚያሰኝ 
Exclaim,በደስታ ተናገረ 
Exclamation,ቃለ አጋኖ 
Exclude,አስቀረ 
Exclusion,መከልከል 
Exclusive,የግል የሆነ 
Excommunicate,አወገዘ
Excrement,ኩስ
Excrete,ጣለ
Excruciate,አሠቃየ
Excursion,ሽርሽር
Excuse,ይቅርታ አደረገለት 
Execrable,አሰቃቂ 
Execrate,አወገዘ
Execute,ፈጸመ 
Execution,አሠራር 
Executive,ባለ ሥልጣን 
Exemplary,አርአያነት ያለው
Exemplify,አርአያ ነው 
Exempt,ነጻ አደረገ
Exercise,በልምምድ አጠነከረ 
Exert,በ--ተጠቀመ
Exhale,ወደ ውጭ ተነፈሰ 
Exhaust,አሟልቶ አተተ 
Exhaustion,ድካም 
Exhaustive,የተሟላ
Exhibit,ለሕዝብ አሳየ 
Exhibition,የሥዕል ትርእይት
Exhilarate,ደስ አሰኘ 
Exhort,አጥብቆ አሳሰበ 
Exhume,ቆፍሮ አወጣ
Exigency,አስቸኳይነት
Exile,አጋዘ
Exist,ነው 
Existence,ኑሮ 
Existent,ባሁኑ ጊዜ ያለ
Exit,መውጫ
Exonerate,ምንም ወንጀል እንዳልሰራ ፈረደ
Exorbitant,በጣም ውድ 
Exorcize,አወጣለት
Exotic,የባዕድ አገር 
Expand,አስፋፋ
Expanse,አካል
Expansion,ማስፋፋት
Expect,ጠበቀ 
Expectation,ግምት
Expectorate,ምራቅ ተፋ
Expedient,ጠቃሚ መስሎ ታየው 
Expedition,ጓድ 
Expeditious,የተፋጠነ 
Expel,አስወጣ 
Expend,ጨረሰ
Expenditure,ወጪ
Expense,ወጪ 
Expensive,ውድ
Experience,ልምድ 
Experienced,ልምድ ያለው
Experiment,ሞከረ
Experimental,ሙከራ የሚያስፈልገው 
Expert,ዐዋቂ 
Expiration,ወደ ውጭ መተንፈስ
Expire,ጊዜ አለቀ 
Explain,ምክንያት ሰጠ 
Explanation,ማብራሪያ 
Explanatory,ማብራሪያ
Explicate,አብራራ
Explicit,ግልጽ
Explode,አፈነዳ
Exploit,የ ጉልበት ያላግባብ በላ 
Exploration,መፈለግ
Explore,እየተዘዋወረ ጥናት አደረገ 
Explorer,አሳሽ
Explosion,ፈንጂ 
Explosive,ፈንጂ
Exponent,ተንታኝ
Export,ወደ ውጭ አገር ላከ
Expose,ገለጠ 
Exposition,ኤክስፖዚሲዮን 
Expostulate,ሓሳቡን እንዲለውጥ ለመነው
Exposure,መታወቅ 
Expound,አብራራ
Express,ተናገረ 
Expression,አባባል 
Expressive,ትርጉም ያለው 
Expropriate,በሕጉ መሠረት ወረሰ
Expulsion,መባረር 
Expurgate,የሚያስከፋውን ነገር ሰረዘ
Exquisite,በጣም የሚደነቅ 
Extant,ሊገኝ የተቻለ 
Extemporaneous,ያለ ዝግጅት
Extend,ዘረጋ 
Extension,ቅጥያ 
Extensive,ሰፊ 
Extent,መጠን 
Extenuate,በከፊል ምክንያት ሆነ 
Exterior,ውጪ 
Exterminate,ደመሰሰ 
External,የውጭ
Extinct,የቀረ 
Extinction,መጥፋት 
Extinguish,አጠፋ 
Extirpate,ፈጽሞ አስቀረ
Extol,በማሞገስ ተናገረ
Extort,አስከፈለ
Extra,ተጨማሪ ሠራተኛ 
Extract,ነቀለ 
Extradite,ወደያገሩ መልሶ ላከ
Extraneous,ምንም ግኑኝነት የለውም
Extraordinary,ያልተለመደ 
Extravagance,ገንዘብ አባካኝነት
Extravagant,በማጋነን
Extreme,ተቀራኒ 
Extremity,ጫፍ 
Extricate,አላቀቀ
Exuberant,በጣም የጋለ 
Exude,ተንቆረቆረ
Exult,ፈነጠዘ 
Eye,አየ 
Eyebrow,ሽፋሽፍት
Eyeglass,መነጽር
Eyelash,ቅንድብ
Eyelid,የዓይን ሽፋን የዓይን ቆዳ
Eyesight,ዓይን የዓይን ብርሃን
Eyewitness,የዓይን ምስክር
Fable,የአፍ ተረት ታሪክ
Fabric,ጨርቅ 
Fabricate,ሠራ 
Fabulous,እንደ ደረት እንደ ሕልም 
Face,ፊቱን አዞረ 
Facetious,የፌዝ
Facial,የፊት
Facile,ቀላል 
Facilitate,አቃለለ
Facility,ስጦታ 
Fact,ነገር 
Faction,ወገን
Factitious,የለበጣ
Factor,ምክንያት 
Factory,ፋብሪካ
Factual,እውነትን የያዘ
Faculty,ስጦታ 
Fade,አደበዘዘ
Fail,ወደቀ 
Failed,መናገር አቃተው 
Failing,ጉድለት
Failure,ያለመሳካት 
Faint,ነፍሱን ሳተ
Fair,ትርእይት
Fairly,በትክክል 
Fairy,በተረቶች ውስጥ ረቂቅ አስማተኛ የሆኑ ፍጡሮች
Faith,ሃይማኖት 
Faithful,ምእመን ምእመናን
Faithless,እምነት ቢስ
Fake,መሰለ
Falcon,ጭልፊት
Fall,ወደቀ 
Fallacy,የተሳሳተ ሃሳብ
False,የውሸት 
Falsehood,ሓሰት
Falsify,አማታ 
Falter,ተደናቀፈ 
Fame,ዝና
Famed,የታወቀ
Familiar,የተለመደ 
Familiarity,ደኅና አድርጎ ማወቅ
Familiarize,አስተዋወቀ
Family,ቤተሰብ 
Famine,ረኃብ 
Famous,ዝነኛ 
Fan,ማረገቢያ 
Fanatic,ዓይኑን ጨፍኖ 
Fanciful,ብልጭልጭ
Fancy,መሰለው 
Fang,ጥርስ
Fantastic,ጨርሶ የማይታመን 
Fantasy,ቅዠት
Far,ሩቅ
Farce,ቀልድ
Fare,ግብር ገባ
Farewell,ተሰናበተ
Farm,አረሰ
Farmer,ገበሬ አራሽ
Farmyard,የገበሬ አጥር ግቢ
Fart,ፈሳ
Farther,የወዲያኛ
Farthest,ከሁሉ የራቀ 
Fascinate,ማረከ 
Fashion,ሠራ 
Fashionable,ያጌጠ 
Fast,ፆመ 
Fasten,አሰረ 
Fat,ሞራ 
Fatal,አደገኛ 
Fatality,መቅሰፍት 
Fate,የእግዜር ፍርጃ 
Fateful,ወደፊት ዕድሉን የሚወስን 
Father,አባት 
Fatherland,አገር
Fatherly,አባታዊ
Fathom,ተረዳ 
Fatigue,ድካም
Fatten,አወፈረ 
Fatuous,የጅል
Faucet,ቧንቧ መክፈቻ
Fault,ስህተት 
Faulty,የተበላሸ የተሳሳተ 
Fauna,እንስሳት
Favor,አደላ 
Favourable,የሚስማማ 
Favourite,ባለሟል
Favouritism,አድልዎ
Fawn,ግልግል
Fear,ፍርሃት 
Fearful,ፈሪ 
Fearless,ደፋር
Fearsome,አሰቃቂ
Feasible,ሊሳካ የሚችል
Feast,ግብር አበላ 
Feather,ላባ
Feature,በተለይ ገለጸ 
Fecund,ወላድ 
Federal,የኅብረት መንግስት
Federation,ፌደራሲዮን 
Fee,ዋጋ 
Feeble,የደከመ 
Feeble-minded,አእምሮ ደካማ 
Feed,ጋበዘ 
Feel,ተሰማው 
Feeling,ስሜት 
Feint,ቃጣ
Felicitate,እንኳን ደስ ያለህ አle 
Feline,እንደ ድመት እየተሳበ
Fell,ጣለ
Fellow,ሰው
Fellowship,ጓደኛነት 
Felon,ወንጀለኛ
Felony,ከባድ ወንጀል
Female,ሴት እንስት
Feminine,አንስታይ ጾታ 
Fence,አጠረ 
Fencing,የሻቦላ ግጥምያ
Fend,ራሱን ቻለ
Fender,ፈረፋንጎ
Ferment,ቦካ 
Ferocious,አስፈሪ
Ferocity,አውሬነት 
Ferret,አድኖ ያዘ
Ferry,የመመላለሻ ጀልባ
Fertile,ለም ለምለም 
Fertilize,አዳበረ
Fervent,ከፍያለ 
Fervid,የጋለ 
Fervour,አድናቆት 
Fester,መግል ያዘ
Festival,በዓል 
Festive,የደስታ
Festivity,ጨዋታ 
Festoon,ለሰርግና ለሌሎችናም በዓላት ጊዜ ለጌጥነት እዲያገለግል አንድ ላይ ታስሮ እንደ ሰንሰለት የሚንጠለጠል ያበባ ጉንጉን
Fetch,ሄዶ 
Fetid,ግም
Fetish,የአስማት ኅይል አለው የሚባል የዕንጨት ቅርጽ የመሳሰለ ነገር
Fetter,በእግር ብረት አሰረ 
Feud,ቂም በቀል ጠብ
Feudal,የባላባት
Fever,ትኩሳት
Feverish,ትኩሳት የሚያመው
Few,ጥቂት
Fiance,እጮኛ
Fiasco,ውድቅ
Fib,ዋሸ
Fiber,ቃጫ 
Fickle,እስስት
Fiction,ፈጠራ 
Fictitious,በሓሳብ የተፈራ
Fidelity,እምነት
Fidget,ተቊነጠነጠ
Fief,ጉልት
Field,ማላ 
Fiend,አረመኔ
Fierce,ኅይለኛ 
Fiery,የጋለ 
Fifteen,ዐሥራ አምስት
Fifth,አምስተኛ
Fifty,አምሳ
Fig,በለስ
